ingestion-service-1  | INFO:     Started server process [1]
ingestion-service-1  | INFO:     140.82.114.6:62911 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62911 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62911 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:43500 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48139 - "OPTIONS /ingest/url HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:50:36 [warning  ] invalid_api_key                key_prefix=adminadmin path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:48139 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     127.0.0.1:51356 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:35910 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16170 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16170 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16170 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:42484 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:57036 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:60312 - "OPTIONS /ingest/url HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:51:10 [warning  ] missing_api_key                path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:60312 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     140.82.114.6:60312 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:60312 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:60312 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:45820 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25837 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25837 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25837 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:45274 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:33996 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62151 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62151 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62151 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62151 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:42380 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62151 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62151 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62151 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:57012 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:38018 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:50288 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:50288 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:50288 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:50288 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:37462 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:50288 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:50288 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:50288 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:40198 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:42260 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61974 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61974 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61974 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61974 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:43624 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61974 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61974 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:61974 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:52588 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:52398 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16771 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16771 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16771 - "OPTIONS /ingest/url HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:53:14 [info     ] test_bypass_auth_used          path=/ingest/url
ingestion-service-1  | 2026-02-01 08:53:21 [error    ] ingest_unexpected_error        error='KafkaError{code=_KEY_SERIALIZATION,val=-162,str="_serialize_key() takes 1 positional argument but 2 were given"}'
ingestion-service-1  | Traceback (most recent call last):
ingestion-service-1  |   File "/usr/local/lib/python3.11/site-packages/confluent_kafka/serializing_producer.py", line 142, in produce
ingestion-service-1  |     key = self._key_serializer(key, ctx)
ingestion-service-1  |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ingestion-service-1  | TypeError: _serialize_key() takes 1 positional argument but 2 were given
ingestion-service-1  | 
ingestion-service-1  | During handling of the above exception, another exception occurred:
ingestion-service-1  | 
ingestion-service-1  | Traceback (most recent call last):
ingestion-service-1  |   File "/app/app/routes.py", line 338, in ingest_url
ingestion-service-1  |     send(
ingestion-service-1  |   File "/app/app/kafka_utils.py", line 84, in send
ingestion-service-1  |     producer.produce(topic=topic, key=key, value=payload)
ingestion-service-1  |   File "/usr/local/lib/python3.11/site-packages/confluent_kafka/serializing_producer.py", line 144, in produce
ingestion-service-1  |     raise KeySerializationError(se)
ingestion-service-1  | confluent_kafka.error.KeySerializationError: KafkaError{code=_KEY_SERIALIZATION,val=-162,str="_serialize_key() takes 1 positional argument but 2 were given"}
ingestion-service-1  | INFO:     140.82.114.6:16771 - "POST /ingest/url HTTP/1.1" 500 Internal Server Error
ingestion-service-1  | INFO:     127.0.0.1:47084 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:20183 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:20183 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:20183 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:20183 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:20183 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:33836 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:60792 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25187 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25187 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48684 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48684 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:59818 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48684 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48684 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48684 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:60680 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:54092 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:54258 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:54258 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:51116 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:51116 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:37434 - "GET /health HTTP/1.1" 200 OK
